Consumer_id,Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
1,1,2,1,2,1,1,4,-0.6645
2,1,1,3,2,1,1,4,-0.92765
3,2,1,4,2,1,1,3,-0.4435
4,2,2,4,2,1,2,3,0.1318
5,1,2,3,2,1,1,2,-0.14945
6,2,2,2,1,1,1,2,-0.61381
7,1,2,3,2,1,1,2,-0.72296
8,2,2,3,2,1,1,5,-0.72257
9,1,2,3,2,1,1,2,-0.7527
10,1,1,3,2,1,1,3,-0.72643
11,2,1,3,2,7,1,5,-0.5247
12,2,1,0,2,1,1,4,-1.35242
13,2,2,3,2,1,1,5,-0.50505
14,1,2,3,2,1,1,3,-0.85406
15,1,1,0,2,3,7,1,0.72361
16,1,2,1,1,2,1,2,-0.61381
17,1,1,1,1,4,1,1,-1.14517
18,2,1,4,2,1,1,2,-0.19508
19,2,1,3,2,1,1,2,-0.83133
20,1,2,2,2,3,1,5,-0.54042
21,2,2,4,2,1,1,3,-0.06902
22,1,1,0,1,3,1,2,-0.55226
23,1,2,3,2,1,1,4,-0.83133
24,2,2,3,2,1,1,2,-0.1683
25,2,1,3,2,1,1,4,-0.73443
26,1,1,0,1,3,1,2,-0.55226
27,1,1,1,2,3,1,2,-0.11584
28,2,2,3,2,1,1,4,-0.72257
29,2,2,0,2,1,1,3,0.41886
30,1,2,2,2,3,1,1,0.17122
31,2,2,0,2,2,1,3,-0.37357
32,1,1,2,1,3,3,1,0.03659
33,2,2,0,2,2,1,2,-0.47028
34,2,2,2,1,1,1,1,-0.61381
35,1,2,1,1,8,1,5,-0.44737
36,2,2,4,2,1,1,3,1.00216
37,1,1,2,1,1,1,2,0.23433
38,2,2,1,2,3,1,3,-0.0966
39,1,2,2,1,1,1,4,-0.72257
40,2,2,3,2,1,1,2,-0.60916
41,2,2,3,2,1,1,3,-0.72257
42,2,1,3,2,1,1,3,-0.72257
43,2,2,0,2,1,1,1,-0.13039
44,2,2,3,2,1,1,1,-0.72257
45,2,1,5,2,1,1,4,-0.96282
46,2,2,2,1,1,1,5,-0.94009
47,1,2,2,1,1,1,4,-0.72257
48,2,2,5,2,1,1,5,-0.03386
49,2,1,4,1,5,1,3,-0.19121
50,2,1,7,2,1,1,4,-0.72257
51,1,1,3,2,1,1,1,-0.2741
52,1,2,5,2,1,1,4,-0.13522
53,1,0,1,1,4,1,3,-0.72257
54,2,1,5,2,1,2,2,-0.89584
55,1,2,1,1,8,2,4,-0.95352
56,2,2,1,1,3,2,1,-0.8648
57,1,2,1,2,4,4,5,-1.06319
58,2,2,3,2,1,1,5,-0.02365
59,1,2,3,2,1,1,3,-0.24451
60,2,2,3,2,2,1,3,-0.14276
61,2,1,4,2,1,1,2,0.48618
62,1,1,1,2,2,2,3,-0.18058
63,1,2,2,1,4,2,2,0.11517
64,2,2,3,2,1,1,3,-0.22992
65,2,2,0,2,1,1,2,-0.62049
66,1,1,1,1,3,1,1,-0.46688
67,1,2,0,1,3,1,2,-0.33551
68,2,1,1,1,3,2,3,-1.52219
69,1,1,1,1,4,2,2,-0.74959
70,1,1,1,1,4,2,2,-1.60248
71,1,2,1,1,2,2,3,-0.82931
72,1,1,1,1,8,2,3,-1.32361
73,2,2,4,2,1,1,4,-0.0913
74,2,2,3,2,1,1,3,0.11398
75,1,2,2,2,3,1,3,0.52303
76,2,2,4,2,1,1,5,0.7934
77,2,2,3,2,2,1,1,-0.08835
78,2,2,3,2,2,1,5,0.484
79,1,2,3,2,1,1,3,0.53082
80,2,2,3,2,1,1,3,0.08196
81,2,2,3,2,1,1,2,-0.24957
82,2,1,4,2,1,1,3,0.63218
83,2,2,3,2,1,1,5,0.45756
84,1,2,1,2,3,1,4,0.59258
85,1,2,1,2,3,1,3,0.37485
86,1,1,2,1,3,1,3,0.04314
87,2,1,3,2,1,1,4,-0.90893
88,1,2,3,2,1,1,5,-0.12626
89,2,2,3,2,1,1,3,0.03849
90,2,2,0,2,1,1,4,0.77571
91,1,2,1,2,8,1,3,0.45891
92,2,2,3,2,1,1,4,1.07117
93,1,2,1,2,4,1,3,-0.16698
94,1,1,1,2,3,1,3,0.21809
95,2,2,4,2,1,1,5,0.78875
96,2,2,3,2,2,1,5,0.52342
97,2,2,3,2,1,1,4,0.1519
98,2,2,5,2,5,1,3,0.44943
99,1,0,3,2,1,1,1,0.93228
100,2,1,3,2,9,1,3,0.5652
101,1,1,3,2,1,1,3,0.25287
102,1,2,3,2,1,1,2,0.46109
103,2,0,3,1,1,1,1,0.50287
104,2,2,5,2,2,1,5,0.46109
105,2,2,0,2,1,1,2,-0.20876
106,2,2,2,1,2,1,4,-0.19711
107,2,1,4,2,1,1,3,0.66212
108,2,1,6,1,1,1,3,0.61548
109,2,2,4,2,1,1,3,-0.0913
110,2,1,5,2,1,1,2,0.30223
111,1,2,1,1,3,2,1,0.51137
112,1,1,1,1,3,2,2,-0.23889
113,1,2,0,1,3,2,4,0.62348
114,1,2,1,1,3,2,3,0.77106
115,1,1,1,1,3,2,2,-0.15454
116,1,2,0,1,3,2,2,-0.26161
117,1,1,1,1,4,2,2,-0.09536
118,1,2,1,1,4,2,2,1.25817
119,2,1,4,2,1,1,3,0.20421
120,2,2,3,2,2,1,3,0.54797
121,2,2,0,2,1,1,2,0.05308
122,2,2,3,2,1,1,4,0.37805
123,2,2,5,2,1,1,4,-0.10498
124,1,1,3,2,1,1,1,0.83039
125,2,2,3,2,2,1,2,0.49886
126,2,2,3,2,2,1,4,-2.11481
127,2,2,2,2,2,1,1,0.79543
128,2,2,3,2,1,1,3,-0.15219
129,2,2,3,2,1,1,4,1.23689
130,2,2,3,2,2,1,4,0.24304
131,2,1,5,2,1,1,2,0.13911
132,1,2,3,2,1,1,2,0.79325
133,2,2,3,2,1,1,2,0.15214
134,2,2,4,2,2,1,4,0.43921
135,1,2,3,2,1,1,5,0.52289
136,1,2,3,2,1,1,3,0.48328
137,2,1,4,2,1,1,1,0.13971
138,1,1,0,1,3,1,3,0.39191
139,1,1,0,1,3,4,2,0.62217
140,2,1,3,2,1,1,1,0.66917
141,1,2,0,1,8,1,3,0.13428
142,1,1,2,2,3,1,1,0.48793
143,1,1,2,2,3,1,2,0.21291
144,1,2,3,2,1,1,2,0.54057
145,2,1,6,2,1,1,3,0.30446
146,2,2,3,2,1,1,2,0.62739
