product_id,brand,company_location,review_date,country_of_bean_origin,cocoa_percent,rating,counts_of_ingredients,cocoa_butter,vanilla,organic,salt,sugar,sweetener,first_taste,second_taste,third_taste
1,A. Morin,France,2014,Peru,70,4,4,1,0,1,0,1,0,delicate,hazelnut,brownie
2,A. Morin,France,2014,Venezuela,70,3.75,4,1,0,1,0,1,0,astringent,nutty,chocolatey
3,A. Morin,France,2014,Venezuela,70,3.5,4,1,0,1,0,1,0,nutty,mild choco,roasty
4,A. Morin,France,2014,Venezuela,70,2.75,4,1,0,1,0,1,0,harsh,leather,earthy
5,A. Morin,France,2015,Peru,70,3.5,4,1,0,1,0,1,0,grainy texture,cocoa,sweet
6,A. Morin,France,2018,Peru,63,3.75,4,1,0,1,0,1,0,sweet,dairy,spice
7,A. Morin,France,2018,Venezuela,70,3.5,4,1,0,1,0,1,0,alluring aroma,powdery,nutty
8,Altus aka Cao Artisan,U.S.A,2016,Peru,60,3,3,1,0,0,0,1,0,dry,sweet,caramel
9,Altus aka Cao Artisan,U.S.A,2016,Ecuador,60,2.75,3,1,0,0,0,1,0,sandy,nutty,earthy
10,Altus aka Cao Artisan,U.S.A,2016,Peru,60,2.5,3,1,0,0,0,1,0,sandy,sweet,sour
11,Altus aka Cao Artisan,U.S.A,2018,Dominican republic,70,3,3,1,0,0,0,1,0,sweet,coarse,nutty
12,Ambrosia,Canada,2015,Peru,68,3.5,2,0,0,0,0,1,0,rich,sour,mild smoke
13,Ambrosia,Canada,2015,Madagascar,66,3.25,2,0,0,0,0,1,0,fruity,sour,none
14,Ambrosia,Canada,2015,Dominican republic,75,3.25,2,0,0,0,0,1,0,high roast,high astringnet,none
15,Ambrosia,Canada,2015,Venezuela,70,3.25,2,0,0,0,0,1,0,sandy,roasty,nutty
16,Amedei,Italy,2018,Blend,75,3.5,4,1,1,0,0,1,0,sweet,delicate,complex
17,Amedei,Italy,2018,Madagascar,70,3,4,1,1,0,0,1,0,vanilla,mint,roasty
18,Amedei,Italy,2018,Venezuela,70,3,4,1,1,0,0,1,0,vanilla,nuts,roasty
19,Amedei,Italy,2018,Venezuela,70,3,4,1,1,0,0,1,0,nutty,mild roasty,vanilla
20,Amedei,Italy,2019,Blend,70,2.75,3,1,0,0,0,1,0,nut,fatty,rubbery
21,Arete,U.S.A,2015,Ecuador,70,3.75,2,0,0,0,0,1,0,spicy,cocoa,none
22,Arete,U.S.A,2015,Peru,68,3.5,2,0,0,0,0,1,0,floral,nutty,rich cocoa
23,Arete,U.S.A,2015,Dominican republic,70,3.5,2,0,0,0,0,1,0,spicy,brownie,nutty
24,Arete,U.S.A,2015,Ecuador,75,3.5,3,1,0,0,0,1,0,intense,floral,bourbon
25,Arete,U.S.A,2016,Peru,70,4,2,0,0,0,0,1,0,creamy,complex,balanced
26,Arete,U.S.A,2016,Dominican republic,70,3.75,2,0,0,0,0,1,0,dark berry,chocolatey,none
27,Arete,U.S.A,2016,Ecuador,70,3.25,3,1,0,0,0,1,0,sticky,floral,roasty
28,Arete,U.S.A,2016,Ecuador,70,3.25,3,1,0,0,0,1,0,chewy,mild floral,none
29,Arete,U.S.A,2017,Madagascar,70,3.5,3,1,0,0,0,1,0,sour fruit,none,none
30,Arete,U.S.A,2017,Peru,70,3.5,3,1,0,0,0,1,0,dried fruit,fig,anise
31,Bonnat,France,2014,Blend,65,3.75,3,1,0,0,0,1,0,complex,brownie,mint
32,Bonnat,France,2014,Dominican republic,75,3.25,3,1,0,0,0,1,0,roasty,tobacco,earthy
33,Bonnat,France,2018,Peru,75,4,3,1,0,0,0,1,0,oily,subtle,mild coffee
34,Bonnat,France,2018,Blend,75,4,3,1,0,0,0,1,0,creamy,rich,complex
35,Brasstown aka It's Chocolate,U.S.A,2014,Venezuela,70,4,3,1,0,0,0,1,0,intense,raisins,roasty
36,Brasstown aka It's Chocolate,U.S.A,2015,Dominican republic,68,3.75,3,1,0,0,0,1,0,complex,brownie,lime
37,Brasstown aka It's Chocolate,U.S.A,2016,Venezuela,70,3.5,3,1,0,0,0,1,0,nutty,slight hammy,rich
38,Brasstown aka It's Chocolate,U.S.A,2017,Ecuador,75,3.75,3,1,0,0,0,1,0,sandy,floral,honey
39,Brasstown aka It's Chocolate,U.S.A,2017,Dominican republic,70,3.25,3,1,0,0,0,1,0,earthy,cherries,none
40,Brazen,U.S.A,2015,Dominican republic,80,3.25,3,1,0,0,0,1,0,bitter,dark berry,fatty
41,Brazen,U.S.A,2015,Madagascar,60,3.25,3,1,0,0,0,1,0,citrus,sweet,cocoa
